COM_CODE;COM_NOM;AUC_NOM;geolocalisation
38552;Villard-Saint-Christophe;Grenoble;44.986010886, 5.818778353
38553;Villefontaine;Lyon;45.613323366, 5.154811561
38002;Les Adrets;Grenoble;45.259045888, 5.991313765
38061;La Buisse;Grenoble;45.330829027, 5.623287235
38064;Cessieu;Lyon;45.568823527, 5.377346912
38070;Le Champ-près-Froges;Grenoble;45.281326588, 5.937781495
38110;Chuzelles;Lyon;45.575736715, 4.878188955
38239;Moirans;Grenoble;45.318566973, 5.561884704
38551;Villard-Reymond;Villard-Reymond;45.029238848, 6.007608407
38128;Corps;Corps;44.820298279, 5.941842592
38159;Eydoche;Eydoche;45.442004928, 5.333129165
38184;Grenay;Lyon;45.661426512, 5.077181318
38185;Grenoble;Grenoble;45.182177618, 5.720992019
38401;Saint-Jean-de-Soudain;Lyon;45.584795838, 5.435628885
38420;Saint-Martin-de-Vaulserre;Saint-Martin-de-Vaulserre;45.492865966, 5.681956998
38435;Saint-Pancrasse;SO;45.295915266, 5.850109598
38460;Saint-Sulpice-des-Rivoires;Grenoble;45.467694399, 5.60403915
38475;Satolas-et-Bonce;Lyon;45.682838834, 5.125640507
38494;Soleymieu;Lyon;45.703386588, 5.359103448
38523;Varacieux;Saint-Marcellin;45.227708802, 5.341874425
38234;Mions;SO;nan
38289;Oz;Oz;45.12793404, 6.074176657
38300;Penol;Penol;45.371519377, 5.179904742
38561;Viriville;Viriville;45.304814481, 5.202617788
38541;Veyrins-Thuellin;SO;45.629548516, 5.530334015
38548;Villard-de-Lans;Villard-de-Lans;45.059882977, 5.543859845
38009;Anjou;Anjou;45.349330516, 4.882777011
38044;Biol;Lyon;45.496307689, 5.36902961
38125;Cordéac;SO;44.813366011, 5.844992175
38152;Eclose-Badinières;Lyon;45.491670095, 5.302219857
38156;Les Éparres;Lyon;45.538315322, 5.291831681
38161;Faramans;Faramans;45.388221735, 5.154291684
38193;L'Isle-d'Abeau;Lyon;45.618276697, 5.221862177
38207;Lavaldens;Lavaldens;44.992267245, 5.90313885
38217;Marcieu;Marcieu;44.917022053, 5.695003934
38258;Mont-Saint-Martin;Grenoble;45.278722971, 5.683690292
38291;Pajay;Pajay;45.359192721, 5.129584097
38315;Le Pont-de-Beauvoisin;Le Pont-de-Beauvoisin;45.531319849, 5.660887356
38338;La Rivière;Grenoble;45.223750239, 5.513673321
38348;Ruy-Montceau;Lyon;45.590217627, 5.344325819
38390;Saint-Gervais;Grenoble;45.19042275, 5.49769401
38413;Saint-Laurent-en-Beaumont;Saint-Laurent-en-Beaumont;44.884853535, 5.84501185
38417;Sainte-Marie-d'Alloix;Grenoble;45.383757107, 5.975582748
38421;Saint-Martin-d'Hères;Grenoble;45.175286155, 5.765520689
38436;Saint-Paul-de-Varces;Grenoble;45.065768509, 5.631710503
38440;Saint-Pierre-de-Bressieux;Grenoble;45.300755164, 5.299947247
38444;Saint-Pierre-de-Méaroz;Saint-Pierre-de-Méaroz;44.873413348, 5.820317787
38449;Saint-Quentin-Fallavier;Lyon;45.639549528, 5.108702287
38454;Saint-Sauveur;Saint-Marcellin;45.1455237, 5.344233967
38558;Villette-de-Vienne;Lyon;45.589171467, 4.912668549
38379;Saint-Clair-sur-Galaure;Saint-Clair-sur-Galaure;45.272382987, 5.147483472
38380;Saint-Didier-de-Bizonnes;Lyon;45.46152112, 5.344240452
38505;Thodure;Thodure;45.31557145, 5.155540424
38016;Arzay;SO;45.43179154, 5.167331648
38026;La Balme-les-Grottes;Lyon;45.841818287, 5.319537974
38034;Beaurepaire;Beaurepaire;45.336749833, 5.04358868
38042;Bévenais;Grenoble;45.393896827, 5.39280865
38095;Chatte;Saint-Marcellin;45.140117729, 5.279829575
38117;Cognin-les-Gorges;Grenoble;45.170563084, 5.418301586
38120;La Combe-de-Lancey;Grenoble;45.19825032, 5.918162549
38138;Crémieu;Lyon;45.732021256, 5.257102622
38237;Mizoën;Mizoën;45.043090807, 6.182098161
38261;Morestel;Lyon;45.680394141, 5.46954542
38266;La Motte-Saint-Martin;Grenoble;44.9468676, 5.718937261
38272;Murinais;Saint-Marcellin;45.210824968, 5.318168034
38279;Notre-Dame-de-Mésage;Grenoble;45.070465203, 5.751677553
38292;Villages du Lac de Paladru;Grenoble;45.482013286, 5.552670593
38311;Pommier-de-Beaurepaire;Pommier-de-Beaurepaire;45.392521295, 5.1076462
38362;Saint-Aupre;Grenoble;45.4064128, 5.661489041
38462;Saint-Théoffrey;Grenoble;44.99059295, 5.775367665
38474;Sassenage;Grenoble;45.212873573, 5.651315598
38493;Solaize;SO;nan
38499;Susville;La Mure;44.925792584, 5.762914474
38519;Valencin;Lyon;45.607836937, 5.027216244
38562;Vizille;Grenoble;45.074575767, 5.779356667
38007;Allières-et-Risset;SO;nan
38066;Chalon;Châlons;45.451555888, 4.93708441
38118;Colombe;Grenoble;45.394276253, 5.449328904
38129;Corrençon-en-Vercors;Corrençon-en-Vercors;45.011494761, 5.517391975
38155;Entre-deux-Guiers;Entre-deux-Guiers;45.41586075, 5.755902533
38172;Four;Lyon;45.577154439, 5.195515667
38176;Frontonas;Lyon;45.65115729, 5.185266413
38205;Lans-en-Vercors;Grenoble;45.120819995, 5.590042693
38282;Optevoz;Lyon;45.752755934, 5.340302372
38316;Pont-de-Chéruy;Lyon;45.752422332, 5.172531965
38325;Proveysieux;Grenoble;45.287015934, 5.714889076
38331;Réaumont;Grenoble;45.36286244, 5.523165354
38347;Roybon;Roybon;45.24794881, 5.248940228
38369;Sainte-Blandine;Lyon;45.545117659, 5.435602699
38371;Saint-bonnet-de-mure;SO;nan
38382;Saint-Égrève;Grenoble;45.232202682, 5.684294259
38406;Saint-Julien-de-l'Herms;Lyon;45.431174334, 5.086099912
38408;Saint-Just-Chaleyssin;Lyon;45.586545323, 5.004744874
38409;Saint-Just-de-Claix;Saint-Just-de-Claix;45.077593694, 5.279832192
38414;Sainte-Luce;Sainte-Luce;44.8503386, 5.906572581
38427;Saint-Michel-de-Saint-Geoirs;Grenoble;45.301101314, 5.359068278
38431;Saint-Nazaire-les-Eymes;Grenoble;45.259230162, 5.851458795
38433;Saint-Nizier-du-Moucherotte;Grenoble;45.164674379, 5.631235759
38471;Le Sappey-en-Chartreuse;Grenoble;45.265215322, 5.783651077
38491;Simandres;SO;nan
38515;Trept;Lyon;45.688962376, 5.324700837
38516;La Tronche;Grenoble;45.209701883, 5.743999417
38518;Valbonnais;Valbonnais;44.897890934, 5.909570447
38565;Voreppe;Grenoble;45.29034086, 5.642899033
38285;Ornon;Ornon;45.040467633, 5.965131212
38330;Quincieu;Grenoble;45.278138011, 5.387259559
38333;Rencurel;Rencurel;45.118116503, 5.472626966
38342;Roissard;Grenoble;44.88451251, 5.635042699
38349;Sablons;Sablons;45.32156761, 4.784566108
38399;Saint-Jean-de-Bournay;Lyon;45.498252205, 5.147560058
38476;Savas-Mépin;Lyon;45.497090764, 5.061887329
